review,Label
يبيله تصليحات كثير,bug_report
ماتحملت ابدددددا ونا دفعت فلوس 🤔😕,rating
"اتمنى منكم عمل خيار لتفضيل المسلسل بالكامل عوضاً عن تفضيل الحلقات فقط
وشكراً",improvement_request
ممتاز وبسيط وتشغيله لا يؤثر على سرعة الانترنت,rating
تبين م لي ي تم ل يب,others
التطبيق لا يعمل على النوت ايدج,bug_report
لا يتم تسجيل الدخول بالارقام المتبعة في نظام نور وبالتالي التطبيق يحتاج لإصلاح الخلل,bug_report
اللعبه رافضه تفتح معي,bug_report
تطبيق عديم الفايده ارسل بحالة ولدي ولا مجيب ولا شي اصبح المريض مهمش للاسف لو انه ابنكم لفعلتو المستحيل لاجل معالجته,rating
"السلام عليكم ورحمة الله وبركاته
هناك خطأ ما يجعل الاستفادة من هذا التطبيق مستحيلة أرجو معالجة هذا الخطأ لتتم الاستفادة جزاكم الله خير",bug_report
تطبيق لا يمكن الإستغناء عنه,rating
"انو تطبيق جميل جدا مره حلو,،🖤🖤❤️❤️",rating
افضل ما فيه حجب الاعلانات المحتوية على صور وموسيقى,rating
اضغط على النجمه للتقيم,others
عند التسجيل في الموقع يطلع لي التاريخ غلط وين المشكله لو سمحتو,bug_report
اللعبة حلوة بس لو تضيف. عرف اكثر حتكون احلا و كمان لو تضيف شخصيات اكثر اللعبة حتكون اكثر حلاوة💗💖💖,improvement_request
لطيفة سيدي يوسف بن علوي بن عبدالله بن عبدالعزيز آل سعود ولي العهد,others
دائما بالتحديات كرتي بخزي ليش ليش ليش,others
ممتاز جدا بس لابد من وجود قطعة قارئ الاعطال,improvement_request
التطبيق ادخل عليه يطلع برا التطبيق كل مره احاول الدخول صلحوها رجاء,bug_report
ههدي للامي و صدى الملاعب الرياضية,others
ال عبه بت جنن واو عجد واو,rating
برنامج ممتاز جدا وقوي ويشغل كل الامتدادات,rating
والله فرحنا كثيراً بتطبيق مطبعة الملك فهد لكن للأسف به أخطاء و ميزات ناقصة كثيرة جداً و لا يتم تحميل المصحفين الأخضر و الأزرق أرجو أن يتم عمل هذا التطبيق بما يليق بمكانة المصحف و بما هو مؤمل من المطبعة و أرجو من الشؤون الإسلامية الإستعانة بخبراء التطبيقات و تخريج نسخة محدثة لا عيب فيها و رائدة تظهر جمالية هذا الكتاب الكريم والله لنا الأجر العظيم و الثواب الكبير إن رسخنا أنفسنا في خدمة كتاب الله العظيم جزاكم الله خيراً و ننتظر منكم الأفضل و الأفضل من بين جميع التطبيقات . .,improvement_request
لقد تم حظري من قبل الاداره,others
البرنامج جميل لكن لابد من الغاء حتمية النقاط والاعتماد على الاعلانات لجني الارباح,improvement_request
العبه مره حلوه بس ياليت انه بالغه العربيه,improvement_request
اللعبه توقف عند وصول 94 ارجو حل المشكله,bug_report
انها جميل مو مره مره 🙂,rating
شريت من عندكم مرتين واخذتوا فلوسي ولا عطيتوني المشتريات الله لايوفقكم,rating
انا ضحيت في عشرين ريال بس الدعوه  سرقه ولا   افيدوني في طريقة الاسترجاع,rating
برنامج فاشل جدا مثل الي نزله ربي ياخده الي نزل هالبرنامج,rating
جيد بالنسبة إلى الأصدقاء الذين تعرفت عليهم والذين لا يقدرون في اي مال لكن والله سعر الجواهر ونقاط جداً جداً جداً مرتفع اتمنى من ادارة التطبيق النظر في الأسعار ومحاولة إضافة تطورات في التطبيق دون أي عوائق على اي ازعاج أو مدايقة المشتركين القدامه وأن شاء الله اتمنى لكم المزيد والتقدم حتى نصبح مثل هذا التطبيق العملي والجيد بتمنالكم لكم المزيد والتوفيق في بلدنا الحبيب الاردن تحت ظل الرايه الهاشمية جلالة الملك عبدالله الثاني حفظه الله ورعاه.,improvement_request
التطبيق ممتازة ناقصة خدمة أبل باي,improvement_request
المفروض بدل رأيك في الخدمات وملحقاتها مشكلتك في الخدمات وملحقاتها وش الفيادة يوم اضيع من وقتي ثلاث دقائق في رأي تلقائي على المهملات والا الارشفة مثل برنامج الثامنه بس هذاك مرئي وهذا مقرؤء,improvement_request
كنت محملتها بعدين حذفتها و لحين حملتها عشان كويلي,others
البرنامج حلو بس المشكله انو ما يرفع عدد المشاهدات بسرعه🙂,rating
"الكتابة بالعربي مقلوب 
الرجاء تطوير البرنامج",bug_report
حضروني .....اخره برنامج في العالم ...,rating
استعلام عن الفواتير غير موجود الافاده,improvement_request
سهولة ويسر في الاستخدام، شكراً وزارة الصحة,rating
اتمنى يتم فك الارتباط مع برنامج  النفاذ الوطني وابشر وندخل مباشرة على تطبيق موعد برقم الهوية والسري الموجودة بنظام ابشر بدون هالمرمطة,improvement_request
برنامج فاشل مثلكم انا تخيلت انو راح يروح و يطلع الوجه الحقيقي لاكن يطلع غير وجه كلو كذب 😔☹️,rating
لسا ما جربته يارب يكون برنامج حلوو,others
االلعبة مميزه تاخذ ١٠٠٠٠٠٠٠٠٠٠٠. اول تطبيق مميز,rating
هي اللعبه حلوه بس بتطلع كتير أعلانات و ليش ما يخلوني مُسالمه وبس حطيت 3نجوم على هدول الشغلتين 😁,rating
بس تطول وهي تحمل وياليت تعدل فيها شوي يعني السرعه الانوار يمدينا نشغلها بنفسنا,improvement_request
البرنامج ممتاز وزاد الاقبال عليه خصوصا بعد حظر برنامج الفايبر,rating
يوجد تطبيقات كثيره أفضل من هذا وارخص منه حتى نجمه واجد علية,rating
برنامج ممتاز وبصراحة عجبني سرعة تجاوبهم ، لكن المشكله ان احكامهم لا تنفذ لدى مقدمي الخدمة وخاصة ً شركة STC,rating
برنامج جميل لكن اختيار الجنس يكون عند الدفع فقط,rating
يجب خفض الوقت في تطوير المباني,improvement_request
تطبيق كان يفيدنا وقت الحجر  عشان التصاريح,rating
أنصحكم ما تحملوهاأبدا لا تصدقوها تعلق خرررررررر رره 👎💩 😡 😣,rating
ثلاثة نجمات علي راي الجمهور وتحت التجربة,rating
شيء طالما انتظرناه مجهود جميل ورائع . إلى ما سبق من ملاحظات الأخوة الكرام أحب أن أضيف أن اسم القارىء أهم من صورته ، فعندي تظهر الصورة ويغاب جزء كبير من الاسم . ثانيا : تفعيل الوضع الأفقي في جميل أوضاع البرنامج .أخيرا جزاكم الله خيرا,improvement_request
رجعولي فلوسي ولا بشتكي 😠😠😠😠😈🤢👎💰💶💶💷💶💶💷💶💴 من زينكم,rating
التطبيق ممتاز جدا ولاكن نظام الشركات يجيب ان يتعدل,improvement_request
انصحك بعدم تحميل البرنامج كله خداع,rating
المواعيد بحد ذاتها ممتازة لتفادي الأنتظار الكثير,rating
لعبه دي حلوه قوي يا جدعان,rating
ترى في مشكلة في الاغاني متقدمة شوية,bug_report
التطبيق لا يعمل ما قدرت اسجل في التطبيق يحتاج مبرمج ذكي وغير معقد,bug_report
منذ شهر وحل الألغاز واقف ويكتب لي يفتح قريبا,bug_report
طلبتم وصف ورأي قبل ان اجرب واختبر ؟ فكيف رأيي في هذا ؟؟؟!!!.,rating
اشتريت النسخة الاصلية والجهاز لم يقبل الروت.. جهازي LG g4 واعطاني انه غير مدعوم بالروت ولم استفد اي شيء ما الحل؟؟؟,bug_report
السلام عليكم ورحمة الله وبركاته في قناة العب مع امون,others
. انا عوز اعرف التطبيق مش راضي يشتغل لية,bug_report
تحفه جدا تحت التجربه بجد واضح أنها روعه اوي وكمان كل الناس كاتبه أنها حلوه,rating
للأسف برنامج سي والله,rating
تطبيق مميز جدا بكل صراحه لم أتوقع أنه يوجد تطبيقات عربيه بهذه الكفاءه ، جزيتم خيرا على تسهيل المعاملات بين الطلاب والمسؤوليين,rating
انا احب هذه اللعبه كثير كثير كثير ونفسي اتحدث وها,rating
العبة حلوه بس ارجو من مصمم اللعبة يفتلنا كل الطائرات او على الاقل نكسب فلوس من اللعبة نفسها ونشترى بيهم وبهذه الطريقه هتكسب لعيبا اكثر,improvement_request
